Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
1.597,0.000,0.000,0.000,0.007,0.007, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
1.671,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.11,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
1.737,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.11,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
1.810,0.000,0.000,0.007,0.000,0.007, ,0.06,-0.08,-0.04,0.00,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
1.883,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.04,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
1.942,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.04,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.008,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,-0.04,0.00,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.074,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.04,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.132,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,-0.04,0.04,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.191,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.04,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.242,0.000,0.000,0.000,0.000,0.000, ,0.14,0.08,-0.04,0.07,0.35,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.301,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,-0.04,0.11,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.367,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.07,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
