Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.689,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.16,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.75,
2.652,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,-0.05,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.79,
2.689,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,-0.05,-0.85,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.79,
2.674,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,-0.05,0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.79,
2.711,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,-0.05,0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4.88,28.79,
2.718,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.59,0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4.88,28.79,
2.740,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.16,0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4.88,28.79,
2.777,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,-0.27,0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.79,
2.792,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,-0.05,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.75,
2.806,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.16,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.75,
2.821,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.16,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.72,
2.828,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,-0.05,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.79,
