Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
1.187,0.000,0.000,0.022,0.000,0.000, ,-1.51,-0.46,-0.95,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.172,0.000,0.000,0.037,0.000,0.000, ,-1.38,-0.33,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.231,0.000,0.000,0.037,0.000,0.007, ,-1.78,0.86,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.290,0.000,0.000,0.000,0.000,0.000, ,-1.65,-0.46,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.202,0.000,0.000,0.073,0.015,0.029, ,-1.91,-0.07,0.63,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
1.246,0.000,0.000,0.000,0.000,0.000, ,-1.78,-0.72,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
1.275,0.000,0.000,0.059,0.000,0.044, ,-2.17,0.20,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.275,0.000,0.000,0.029,0.007,0.000, ,-0.86,1.12,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.319,0.000,0.000,0.029,0.000,0.000, ,-1.38,0.07,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.238,0.000,0.000,0.022,0.000,0.000, ,-1.65,-0.20,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
1.268,0.000,0.000,0.022,0.000,0.022, ,-0.99,-0.20,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.253,0.000,0.000,0.037,0.022,0.029, ,-2.04,0.59,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.253,0.000,0.000,0.066,0.044,0.059, ,-0.86,0.99,-0.69,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.268,0.000,0.000,0.015,0.000,0.000, ,-1.65,-0.07,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.268,0.000,0.000,0.059,0.022,0.029, ,-1.91,-0.99,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.260,0.000,0.000,0.015,0.000,0.000, ,-1.12,0.33,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.260,0.000,0.000,0.029,0.000,0.000, ,-1.51,0.07,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.334,0.000,0.007,0.029,0.000,0.000, ,-1.78,-0.86,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.326,0.000,0.000,0.044,0.007,0.000, ,-1.78,-0.59,0.36,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.385,0.000,0.000,0.015,0.000,0.000, ,-2.04,-0.20,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.429,0.000,0.000,0.037,0.000,0.007, ,-0.99,1.12,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.458,0.000,0.000,0.000,0.000,0.000, ,-1.38,0.86,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.553,0.000,0.000,0.037,0.022,0.029, ,-1.91,-0.46,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.590,0.000,0.000,0.051,0.015,0.000, ,-1.78,-0.33,0.36,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.678,0.000,0.000,0.037,0.000,0.022, ,-1.65,-0.07,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.737,0.000,0.000,0.015,0.000,0.000, ,-0.86,0.72,-0.69,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
1.795,0.000,0.000,0.022,0.015,0.015, ,-1.65,-0.07,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,1.47,54.91,2000.00,0.00,2000.00,0.00,
1.876,0.000,0.000,0.037,0.007,0.007, ,-1.65,-0.46,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
1.934,0.000,0.000,0.066,0.000,0.000, ,-1.38,0.99,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.015,0.000,0.000,0.000,0.000,0.000, ,-1.65,-0.72,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
2.081,0.000,0.000,0.037,0.007,0.007, ,-1.51,-0.46,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
