Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.302,0.311,0.322,0.000,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.325,0.319,0.334,0.000,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.337,0.340,0.349,0.000,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.340,0.346,0.358,0.000,0.000,0.003, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.358,0.358,0.366,0.000,0.000,0.000, ,-0.41,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.375,0.366,0.387,0.000,0.000,0.000, ,0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.375,0.375,0.384,0.000,0.000,0.000, ,-0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.387,0.378,0.390,0.000,0.000,0.000, ,-0.41,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.393,0.378,0.390,0.000,0.000,0.000, ,-0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.390,0.381,0.396,0.000,0.000,0.000, ,-0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.396,0.381,0.399,0.000,0.000,0.000, ,-0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.396,0.381,0.402,0.000,0.000,0.000, ,0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.399,0.378,0.402,0.003,0.000,0.003, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.399,0.378,0.404,0.003,0.000,0.003, ,0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.396,0.369,0.399,0.006,0.009,0.015, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.393,0.366,0.402,0.000,0.000,0.000, ,0.24,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.393,0.358,0.396,0.000,0.000,0.003, ,-0.41,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.387,0.355,0.396,0.000,0.000,0.000, ,-0.41,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.381,0.343,0.387,0.000,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.375,0.337,0.390,0.000,0.000,0.000, ,0.08,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
