Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.402,0.000,0.000,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.393,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.003,0.387,0.000,0.012,0.006,0.009, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.384,0.000,0.006,0.009,0.021, ,0.00,0.32,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.366,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.360,0.000,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.358,0.000,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.006,0.366,0.006,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.375,0.000,0.003,0.000,0.000, ,0.00,-0.17,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.387,0.000,0.000,0.003,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.17,4000.00,0.00,
0.000,0.407,0.000,0.000,0.000,0.000, ,0.00,-0.23,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.17,4000.00,0.00,
0.000,0.434,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.457,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.481,0.003,0.000,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.10,4000.00,0.00,
0.000,0.513,0.000,0.000,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.13,4000.00,0.00,
0.003,0.539,0.000,0.000,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.10,4000.00,0.00,
0.000,0.572,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.06,4000.00,0.00,
0.000,0.601,0.000,0.003,0.000,0.000, ,0.00,-0.17,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.13,4000.00,0.00,
0.003,0.633,0.003,0.009,0.000,0.003, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.06,4000.00,0.00,
0.000,0.657,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.10,4000.00,0.00,
0.000,0.683,0.000,0.006,0.006,0.003, ,0.00,0.26,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.06,4000.00,0.00,
0.000,0.706,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.02,4000.00,0.00,
0.000,0.733,0.000,0.006,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.06,4000.00,0.00,
0.000,0.756,0.000,0.009,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.02,4000.00,0.00,
0.000,0.783,0.000,0.000,0.000,0.006, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.02,4000.00,0.00,
0.000,0.797,0.000,0.003,0.000,0.003, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.02,4000.00,0.00,
0.000,0.821,0.000,0.009,0.012,0.021, ,0.00,0.14,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.99,4000.00,0.00,
0.000,0.844,0.000,0.000,0.000,0.000, ,0.00,-0.29,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.99,4000.00,0.00,
0.000,0.862,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.95,4000.00,0.00,
0.000,0.879,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.99,4000.00,0.00,
0.000,0.894,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.95,4000.00,0.00,
0.000,0.909,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.99,4000.00,0.00,
0.000,0.917,0.000,0.000,0.000,0.000, ,0.00,-0.17,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.95,4000.00,0.00,
0.000,0.929,0.000,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.95,4000.00,0.00,
