Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.975,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.989,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.011,0.000,0.007,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.033,0.000,0.015,0.000,0.000,0.000, ,0.08,-0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
3.026,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
2.989,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.019,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.041,0.000,0.000,0.000,0.007,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.063,0.000,0.000,0.000,0.000,0.000, ,0.24,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.077,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.099,0.000,0.000,0.000,0.007,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.121,0.000,0.000,0.000,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.136,0.000,0.000,0.000,0.000,0.000, ,0.08,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.151,0.000,0.007,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
3.173,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.173,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.202,0.000,0.007,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.239,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
3.283,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
3.290,0.000,0.000,0.007,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.319,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.363,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.378,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.400,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.436,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.451,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.458,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.495,0.000,0.000,0.007,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.502,0.000,0.007,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.532,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.554,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.561,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.583,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.583,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.612,0.000,0.007,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
3.620,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.627,0.000,0.015,0.000,0.000,0.000, ,0.08,-0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.634,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
3.649,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
