Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
6.741,0.000,0.000,0.015,0.022,0.000, ,-0.22,-0.43,19.22,7.28,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
6.931,0.000,0.000,0.015,0.029,0.000, ,-0.31,-0.43,18.73,9.90,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
7.115,0.000,0.000,0.015,0.029,0.000, ,-0.22,-0.35,19.06,7.04,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
7.305,0.000,0.000,0.007,0.022,0.007, ,-0.22,-0.35,18.98,7.04,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
7.496,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.35,19.47,9.74,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
7.620,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.35,19.63,9.49,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,177.78,0.00,
7.767,0.000,0.000,0.000,0.007,0.000, ,-0.31,-0.43,19.55,8.26,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,177.78,0.00,
7.899,0.000,0.000,0.000,0.022,0.000, ,-0.22,-0.35,19.47,5.73,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
8.008,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.27,19.22,7.12,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
8.104,0.000,0.000,0.000,0.007,0.000, ,-0.14,-0.27,19.31,9.16,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,166.06,0.00,
8.184,0.000,0.000,0.015,0.015,0.000, ,-0.22,-0.35,18.98,9.57,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
8.140,0.000,0.000,0.015,0.007,0.000, ,-0.22,-0.35,18.90,5.40,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
7.979,0.000,0.000,0.000,0.007,0.000, ,-0.14,-0.27,18.82,8.02,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
7.693,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.27,18.73,9.16,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
7.334,0.000,0.000,0.007,0.000,0.000, ,-0.22,-0.43,18.57,5.48,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
6.880,0.000,0.000,0.000,0.007,0.000, ,-0.14,-0.35,17.83,6.95,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
6.455,0.000,0.000,0.000,0.000,0.000, ,-0.14,-0.18,18.24,9.57,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
5.994,0.000,0.000,0.007,0.044,0.000, ,-0.06,-0.27,18.00,5.56,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
5.547,0.000,0.000,0.000,0.022,0.000, ,-0.14,-0.35,19.39,7.61,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,347.74,0.00,
5.122,0.000,0.000,0.007,0.000,0.000, ,-0.14,-0.27,13.25,6.71,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
4.741,0.000,0.000,0.007,0.000,0.007, ,-0.06,-0.27,16.20,6.05,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,177.78,0.00,
4.338,0.000,0.000,0.000,0.037,0.000, ,0.10,-0.27,19.06,7.28,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
3.986,0.000,0.007,0.000,0.029,0.000, ,-0.14,-0.27,19.22,6.05,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
3.620,0.000,0.000,0.000,0.022,0.000, ,-0.06,-0.10,19.63,5.24,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,93.77,0.00,0.00,0.00,
3.312,0.000,0.000,0.007,0.022,0.000, ,0.02,-0.27,18.98,6.63,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
2.997,0.000,0.000,0.000,0.015,0.000, ,-0.14,-0.18,18.98,2.86,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
2.726,0.000,0.000,0.000,0.000,0.000, ,0.10,-0.10,18.00,1.80,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
2.484,0.000,0.000,0.000,0.007,0.000, ,0.02,-0.02,17.18,0.25,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
2.945,0.000,0.000,0.000,0.000,0.000, ,0.02,-0.27,15.87,0.33,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
4.697,0.000,0.000,0.000,0.015,0.000, ,0.02,-0.10,13.91,1.15,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,64.47,0.00,0.00,0.00,
5.994,0.000,0.000,0.000,0.000,0.000, ,-0.06,-0.10,10.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,64.47,0.00,0.00,0.00,
6.990,0.000,0.000,0.000,0.029,0.000, ,-0.06,-0.18,8.02,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
7.745,0.000,0.007,0.015,0.015,0.000, ,-0.06,-0.10,8.84,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
8.316,0.000,0.000,0.015,0.037,0.000, ,-0.06,-0.10,11.62,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
8.756,0.000,0.000,0.015,0.022,0.000, ,-0.06,-0.10,12.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
9.115,0.000,0.000,0.015,0.029,0.000, ,-0.06,-0.10,15.54,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
9.379,0.000,0.000,0.000,0.029,0.000, ,-0.06,-0.10,17.92,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
9.576,0.000,0.000,0.007,0.022,0.000, ,0.02,-0.10,17.26,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
9.694,0.000,0.000,0.007,0.015,0.000, ,0.02,0.06,0.16,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
9.862,0.000,0.000,0.015,0.022,0.000, ,0.02,-0.10,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
9.943,0.000,0.000,0.000,0.015,0.000, ,0.02,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.009,0.000,0.000,0.000,0.029,0.000, ,0.10,-0.10,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,173.87,0.00,
10.053,0.000,0.015,0.007,0.007,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.104,0.000,0.000,0.000,0.007,0.000, ,0.10,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,93.77,0.00,0.00,0.00,
10.155,0.000,0.000,0.000,0.000,0.000, ,0.02,0.14,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,173.87,0.00,
10.185,0.000,0.000,0.015,0.015,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,95.73,0.00,0.00,0.00,
10.229,0.000,0.000,0.015,0.015,0.000, ,0.02,-0.10,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.243,0.000,0.000,0.000,0.022,0.000, ,0.02,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
10.229,0.000,0.000,0.000,0.000,0.000, ,0.02,-0.10,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,95.73,0.00,0.00,0.00,
10.251,0.000,0.000,0.000,0.022,0.000, ,0.02,-0.10,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.280,0.000,0.000,0.000,0.007,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.265,0.000,0.000,0.000,0.015,0.000, ,0.10,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.302,0.000,0.007,0.000,0.015,0.000, ,0.10,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,173.87,0.00,
10.309,0.000,0.000,0.000,0.007,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
10.302,0.000,0.000,0.000,0.000,0.000, ,0.10,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,64.47,0.00,0.00,0.00,
