Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,3.576,0.000,0.000,0.000, ,0.12,0.68,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7597.56,20.37,
0.000,0.000,3.669,0.003,0.000,0.000, ,0.20,0.60,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7525.27,20.37,
0.000,0.000,3.705,0.000,0.000,0.000, ,0.04,0.60,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7640.54,20.33,
0.000,0.000,3.769,0.000,0.006,0.003, ,0.20,0.68,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7566.30,20.29,
0.000,0.000,3.831,0.000,0.000,0.000, ,0.12,0.52,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.11,7681.56,20.29,
0.000,0.000,3.872,0.006,0.003,0.000, ,0.04,0.60,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7581.93,20.29,
0.000,0.000,3.919,0.000,0.000,0.000, ,0.20,0.36,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.25,7640.54,20.33,
0.000,0.000,3.957,0.000,0.000,0.000, ,0.04,0.68,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7609.28,20.29,
0.000,0.000,3.986,0.000,0.000,0.006, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7538.95,20.33,
0.000,0.000,4.012,0.000,0.000,0.000, ,0.04,0.44,-3.35,-1.45,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7611.23,20.37,
0.000,0.000,4.056,0.000,0.000,0.009, ,0.12,0.44,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7568.25,20.33,
0.000,0.000,4.080,0.003,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7683.52,20.33,
0.000,0.000,4.059,0.000,0.000,0.000, ,0.20,0.52,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7581.93,20.33,
0.000,0.000,4.112,0.003,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7640.54,20.33,
0.000,0.000,4.150,0.000,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7624.91,20.29,
0.000,0.000,4.162,0.009,0.000,0.000, ,0.20,0.52,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7552.63,20.29,
0.000,0.000,4.197,0.000,0.000,0.000, ,0.04,0.36,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.11,7624.91,20.33,
0.000,0.000,4.238,0.003,0.000,0.000, ,0.04,0.36,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7525.27,20.37,
0.000,0.000,4.232,0.000,0.003,0.006, ,0.12,0.36,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7626.86,20.40,
0.000,0.000,4.256,0.000,0.000,0.000, ,0.04,0.20,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7568.25,20.33,
0.000,0.000,4.264,0.000,0.003,0.000, ,0.12,0.20,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7654.21,20.37,
0.000,0.000,4.256,0.000,0.000,0.000, ,0.04,0.28,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7611.23,20.33,
0.000,0.000,4.282,0.003,0.003,0.000, ,-0.04,0.20,-3.35,-1.42,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7566.30,20.29,
0.000,0.000,4.294,0.000,0.003,0.000, ,-0.04,0.20,-1.50,-0.61,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.25,7654.21,20.33,
0.000,0.000,4.311,0.000,0.000,0.000, ,-0.04,0.12,-1.02,-0.33,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7581.93,20.33,
0.000,0.000,4.314,0.000,0.000,0.000, ,-0.04,0.36,-0.14,-0.11,-0.35,-0.35 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7683.52,20.37,
0.000,0.000,4.317,0.000,0.000,0.000, ,-0.04,0.12,0.02,0.03,-0.04,-0.14 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7595.60,20.33,
0.000,0.000,4.311,0.006,0.000,0.000, ,-0.04,0.20,0.50,0.13,0.07,0.14 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7525.27,20.40,
0.000,0.000,4.335,0.006,0.000,0.009, ,-0.04,0.04,-0.14,-0.08,-0.11,-0.18 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7597.56,20.40,
0.000,0.000,4.329,0.000,0.000,0.000, ,-0.04,0.12,0.34,-0.01,0.04,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7554.58,20.37,
0.000,0.000,4.343,0.015,0.000,0.000, ,0.12,0.12,-0.30,-0.15,-0.14,-0.21 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.18,7640.54,20.40,
0.000,0.000,4.335,0.000,0.000,0.000, ,0.12,0.04,-0.06,-0.01,0.04,-0.07 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7568.25,20.33,
0.000,0.000,4.346,0.000,0.003,0.000, ,0.12,0.04,-0.14,-0.01,0.00,-0.04 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7669.84,20.40,
0.000,0.000,4.387,0.009,0.000,0.000, ,-0.04,-0.04,-0.14,-0.08,-0.07,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7568.25,20.33,
0.000,0.000,4.387,0.000,0.000,0.003, ,0.04,0.04,0.10,0.03,0.00,-0.04 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7640.54,20.40,
0.000,0.000,4.405,0.003,0.000,0.000, ,-0.04,0.04,0.10,0.06,0.11,0.07 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.33,7570.21,20.44,
0.000,0.000,4.399,0.000,0.000,0.000, ,0.04,-0.04,-0.06,-0.01,-0.04,-0.04 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7540.90,20.40,
0.000,0.000,4.408,0.000,0.000,0.000, ,0.04,-0.04,0.02,0.06,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7611.23,20.40,
0.000,0.000,4.434,0.000,0.000,0.000, ,-0.04,-0.04,-0.06,-0.01,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7554.58,20.37,
0.000,0.000,4.431,0.000,0.000,0.000, ,-0.04,-0.04,-0.06,0.03,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7669.84,20.37,
0.000,0.000,4.443,0.000,0.000,0.003, ,-0.04,-0.04,-0.14,0.03,0.07,-0.04 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7568.25,20.37,
0.000,0.000,4.446,0.000,0.003,0.006, ,-0.04,0.04,-0.70,-0.22,-0.21,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7640.54,20.40,
0.000,0.000,4.461,0.000,0.000,0.000, ,-0.04,-0.04,-1.02,-0.25,-0.28,-0.28 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7597.56,20.40,
0.000,0.000,4.464,0.009,0.000,0.000, ,-0.12,-0.12,-0.62,-0.04,-0.07,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7540.90,20.40,
0.000,0.000,4.481,0.000,0.000,0.000, ,-0.04,-0.20,-1.10,-0.15,-0.18,-0.18 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.29,7613.19,20.44,
0.000,0.000,4.481,0.015,0.003,0.003, ,-0.04,-0.04,-0.78,-0.11,-0.14,-0.18 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7540.90,20.44,
0.000,0.000,4.490,0.000,0.000,0.000, ,-0.04,-0.20,-1.02,-0.11,-0.14,-0.14 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7656.17,20.44,
0.000,0.000,4.481,0.000,0.003,0.006, ,-0.12,-0.12,-0.78,-0.08,-0.11,-0.11 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7570.21,20.44,
0.000,0.000,4.499,0.000,0.000,0.000, ,0.04,-0.12,-0.78,-0.08,-0.11,-0.07 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7669.84,20.40,
0.000,0.000,4.513,0.000,0.000,0.003, ,-0.04,-0.12,-1.02,-0.15,-0.18,-0.21 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7597.56,20.37,
0.000,0.000,4.487,0.000,0.006,0.000, ,-0.04,-0.04,-0.94,-0.18,-0.18,-0.11 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7683.52,20.33,
0.000,0.006,4.528,0.000,0.000,0.000, ,0.12,-0.12,-0.94,-0.11,-0.28,-0.18 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7597.56,20.40,
0.000,0.000,4.513,0.000,0.000,0.000, ,0.04,-0.04,-1.26,-0.29,-0.32,-0.35 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.18,7540.90,20.44,
