Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
1.971,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,1.01 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.066,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.140,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.235,0.007,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.301,0.007,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,3.91,34.29,
2.367,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.411,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.477,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.535,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.601,0.000,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.645,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
