Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.425,0.396,0.374,0.037,0.000,0.000, ,0.05,0.19,0.37,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.388,0.344,0.322,0.029,0.000,0.000, ,-0.38,-0.56,1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.396,0.352,0.344,0.007,0.000,0.000, ,-0.59,-0.66,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.403,0.374,0.396,0.022,0.000,0.000, ,-0.59,-0.88,1.33,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.425,0.396,0.396,0.029,0.000,0.000, ,-0.48,-0.66,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.454,0.425,0.432,0.037,0.000,0.000, ,-0.27,-0.77,1.33,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.454,0.425,0.403,0.022,0.000,0.000, ,-0.48,-0.66,0.58,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.476,0.454,0.410,0.037,0.015,0.000, ,-0.05,0.29,0.37,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.469,0.418,0.410,0.059,0.037,0.000, ,-0.38,0.08,0.80,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.491,0.425,0.410,0.029,0.000,0.000, ,-0.05,-0.03,0.80,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.476,0.418,0.396,0.037,0.007,0.000, ,-0.48,-0.03,1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.491,0.447,0.425,0.007,0.000,0.000, ,-0.48,-0.66,1.33,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.513,0.469,0.491,0.029,0.007,0.000, ,-0.27,-0.88,0.58,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.535,0.491,0.535,0.029,0.007,0.000, ,0.16,-0.03,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.542,0.506,0.520,0.015,0.000,0.000, ,0.05,-0.13,0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.550,0.491,0.550,0.037,0.022,0.000, ,-0.05,-0.24,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.564,0.528,0.550,0.022,0.000,0.000, ,-0.27,-0.34,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.557,0.528,0.520,0.073,0.044,0.007, ,-0.59,-0.56,1.33,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.572,0.535,0.579,0.015,0.000,0.000, ,-0.59,-0.56,0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.572,0.506,0.535,0.007,0.000,0.000, ,0.27,0.29,-0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.601,0.542,0.593,0.037,0.000,0.000, ,0.59,0.19,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.601,0.550,0.593,0.007,0.000,0.000, ,0.27,0.19,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.615,0.564,0.608,0.015,0.000,0.000, ,0.27,0.40,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.623,0.564,0.608,0.015,0.000,0.000, ,0.27,0.40,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.637,0.579,0.608,0.029,0.000,0.000, ,0.16,0.29,-0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.623,0.557,0.593,0.037,0.015,0.000, ,0.38,0.50,-0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.645,0.586,0.586,0.037,0.007,0.000, ,0.27,0.19,0.37,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.659,0.586,0.557,0.037,0.007,0.000, ,0.05,0.19,0.80,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.630,0.579,0.557,0.022,0.000,0.000, ,-0.27,-0.03,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.637,0.579,0.572,0.051,0.007,0.000, ,-0.38,-0.13,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.637,0.593,0.572,0.037,0.007,0.000, ,-0.48,-0.66,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.659,0.623,0.637,0.000,0.000,0.000, ,0.05,-0.34,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.659,0.623,0.637,0.029,0.007,0.000, ,-0.38,-0.98,0.90,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.703,0.652,0.696,0.015,0.000,0.000, ,-0.16,-0.03,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.703,0.645,0.696,0.051,0.022,0.000, ,0.27,0.19,-0.58,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.703,0.667,0.711,0.029,0.022,0.000, ,-0.16,-0.03,0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.718,0.681,0.711,0.000,0.000,0.000, ,0.05,-0.13,0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
