Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.613,0.000,0.000,0.000,0.006, ,0.00,0.00,0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.09,4000.00,0.00,
0.000,0.639,0.000,0.000,0.000,0.003, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.668,0.000,0.009,0.006,0.012, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.692,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.721,0.000,0.003,0.000,0.000, ,0.00,0.00,0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.747,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.765,0.000,0.003,0.000,0.003, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.791,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.806,0.000,0.000,0.009,0.012, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.826,0.000,0.000,0.000,0.003, ,0.00,0.00,0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.844,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.003,0.868,0.000,0.000,0.003,0.000, ,0.00,0.00,0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.003,0.888,0.003,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.900,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.906,0.000,0.000,0.006,0.006, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.917,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.09,4000.00,0.00,
0.000,0.932,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.941,0.000,0.000,0.003,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,0.947,0.000,0.000,0.000,0.003, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.003,0.961,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.964,0.000,0.003,0.000,0.000, ,0.00,0.00,0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
