,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.51,Close -Velocity (m/s) :,3.47,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.19,Open -Velocity (m/s) :,0.19,Open -Velocity (m/s) :,6.04,Open -Velocity (m/s) :,6.04,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.128,1.253,1.084,0.044,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.18,1.275,1.114,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.15,1.26,1.114,0.051,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.15,1.268,1.114,0.044,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.165,1.268,1.15,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.15,1.282,1.158,0.051,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.143,1.26,1.18,0.044,0,0, ,0,0,0,-0.06,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.202,1.319,1.209,0.037,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2999.76,0
1.15,1.275,1.172,0.037,0,0, ,0,0,0,0.18,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.194,1.319,1.224,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.224,1.341,1.253,0.037,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.209,1.348,1.253,0.044,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.231,1.37,1.268,0.037,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.238,1.377,1.282,0.022,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.224,1.356,1.26,0.051,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.304,1.436,1.348,0.015,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.319,1.436,1.341,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.268,1.407,1.312,0.044,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.297,1.436,1.356,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.326,1.451,1.356,0.037,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.304,1.451,1.356,0.051,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.356,1.487,1.399,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,16.59,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.326,1.473,1.385,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.326,1.465,1.356,0.051,0,0, ,0,0,0,-0.06,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.392,1.509,1.436,0.029,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.348,1.495,1.385,0.051,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.377,1.495,1.414,0.051,0,0, ,0,0,0,-0.06,0,0,,4000,16.59,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.392,1.524,1.414,0.029,0,0, ,0,0,0,0.02,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.385,1.509,1.421,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.385,1.502,1.414,0.044,0,0, ,0,0,0,0.02,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.407,1.524,1.443,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.385,1.531,1.436,0.044,0,0, ,0,0,0,0.34,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.531,1.436,0.022,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.385,1.531,1.429,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.385,1.524,1.414,0.051,0,0, ,0,0,0,-0.06,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.539,1.443,0.044,0,0, ,0,0,0,-0.06,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.553,1.436,0.022,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.37,1.524,1.414,0.051,0,0, ,0,0,0,0.02,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.421,1.546,1.451,0.022,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.553,1.451,0.051,0,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.399,1.539,1.436,0.051,0.015,0, ,0,0,0,0.1,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.421,1.546,1.451,0.022,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.407,1.539,1.443,0.029,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.539,1.429,0.051,0,0, ,0,0,0,0.1,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.429,1.561,1.458,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2999.76,0
1.414,1.546,1.458,0.037,0,0, ,0,0,0,0.1,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.407,1.546,1.429,0.044,0,0, ,0,0,0,0.1,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.421,1.553,1.451,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.414,1.575,1.465,0.059,0,0, ,0,0,0,0.18,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.399,1.539,1.451,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.443,1.568,1.458,0.029,0,0, ,0,0,0,0.02,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.392,1.546,1.429,0.051,0,0, ,0,0,0,0.18,0,0,,4000,16.63,4000,0,4000,0,4000,0,4000,0,2896.21,0
