,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.6,Close -Velocity (m/s) :,3.58,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,6.31,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,BBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.297,1.312,1.224,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.334,1.348,1.253,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.334,1.334,1.246,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.326,1.348,1.268,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.356,1.385,1.304,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.37,1.377,1.312,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.385,1.392,1.319,0.037,0,0, ,0,0,0,-0.24,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.414,1.414,1.334,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.407,1.429,1.334,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.407,1.436,1.334,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.429,1.436,1.356,0.037,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.458,1.465,1.356,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.465,1.458,1.37,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.451,1.48,1.377,0.051,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.473,1.48,1.37,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.458,1.473,1.37,0.051,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.495,1.392,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.509,1.436,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.509,1.429,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.495,1.487,1.407,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.524,1.436,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.524,1.429,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.524,1.429,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.531,1.451,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.458,0.022,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.509,1.421,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.451,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.436,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.524,1.436,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.451,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.458,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.443,0.037,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.546,1.465,0.022,0,0, ,0,0,0,-0.16,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.443,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.443,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.539,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.451,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.421,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.443,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.429,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.524,1.414,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.524,1.429,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
