,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.54,Close -Velocity (m/s) :,3.49,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,7.45,Open -Velocity (m/s) :,7.37,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,YBreak1,,YBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.509,1.531,1.465,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.539,1.473,0.037,0,0, ,0,0,0,0.14,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.524,1.465,0.051,0,0, ,0,0,0,0.06,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.487,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.539,1.473,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.517,1.524,1.465,0.066,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.546,1.539,1.502,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.546,1.553,1.509,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.473,0.059,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.539,1.48,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.546,1.487,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.531,1.458,0.066,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.531,1.473,0.037,0,0, ,0,0,0,0.14,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.539,1.539,1.473,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.524,1.465,0.059,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.546,1.495,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.539,1.48,0.059,0,0, ,0,0,0,-0.02,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.524,1.48,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.553,1.546,1.509,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.531,1.502,0.066,0,0, ,0,0,0,-0.18,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.517,1.531,1.48,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.531,1.502,0.029,0,0, ,0,0,0,0.06,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.524,1.451,0.066,0,0, ,0,0,0,-0.26,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.546,1.473,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.539,1.465,0.029,0,0, ,0,0,0,0.06,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.517,1.443,0.051,0,0, ,0,0,0,-0.18,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.517,1.531,1.473,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.546,1.553,1.495,0.022,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.517,1.458,0.044,0,0, ,0,0,0,0.06,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.539,1.465,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.531,1.48,0.029,0,0, ,0,0,0,-0.18,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.495,1.517,1.443,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.473,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.539,1.546,1.495,0.007,0,0, ,0,0,0,-0.1,0,0,,4000,30.26,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.502,0.051,0,0, ,0,0,0,-0.18,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.531,1.553,1.502,0.022,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.539,1.546,1.473,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.524,1.473,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.553,1.539,1.502,0.015,0,0, ,0,0,0,0.06,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.487,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.531,1.473,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.546,1.546,1.465,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.517,1.473,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.539,1.546,1.473,0.044,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
