,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.72,Open -Velocity (m/s) :,7.61,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,YBreak1,,YBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.48,1.502,1.297,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.524,1.312,0.051,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.495,1.509,1.312,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.473,1.524,1.312,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.495,1.502,1.297,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.473,1.502,1.297,0.059,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.487,1.517,1.312,0.044,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.495,1.509,1.297,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.487,1.509,1.29,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.495,1.531,1.297,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.517,1.297,0.059,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.487,1.502,1.268,0.059,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.48,1.517,1.29,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.524,1.312,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.75,4000,0,0,0
1.487,1.524,1.312,0.059,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.517,1.304,0.059,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.524,1.319,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.524,1.304,0.059,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.502,1.531,1.304,0.081,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.509,1.524,1.312,0.044,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.509,1.524,1.297,0.059,0,0.007, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.517,1.517,1.312,0.066,0.007,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.524,1.524,1.319,0.044,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.517,1.524,1.312,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.539,1.531,1.326,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.539,1.334,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.509,1.524,1.312,0.051,0,0.015, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.509,1.539,1.326,0.059,0,0.007, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.531,1.546,1.334,0.037,0,0, ,0,0,0,-0.26,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.524,1.539,1.334,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.546,1.553,1.348,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.524,1.312,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.517,1.517,1.312,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.531,1.319,0.022,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.539,1.553,1.312,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.539,1.546,1.326,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.546,1.561,1.356,0.015,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.517,1.539,1.319,0.051,0,0, ,0,0,0,-0.26,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.524,1.546,1.334,0.037,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.539,1.553,1.348,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.531,1.539,1.326,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.539,1.561,1.348,0.029,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.539,1.539,1.334,0.022,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.531,1.546,1.326,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.539,1.546,1.348,0.029,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.553,1.575,1.341,0.022,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.531,1.326,0.037,0,0, ,0,0,0,0.22,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.553,1.561,1.363,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.546,1.546,1.348,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.539,1.531,1.334,0.044,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.553,1.561,1.356,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.539,1.553,1.341,0.029,0,0, ,0,0,0,0.14,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.517,1.561,1.341,0.037,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.531,1.553,1.326,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.524,1.553,1.326,0.059,0.007,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.531,1.334,0.037,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.539,1.561,1.348,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.531,1.553,1.348,0.029,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.509,1.561,1.356,0.044,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.524,1.539,1.341,0.051,0,0, ,0,0,0,-0.26,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.509,1.524,1.326,0.051,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.495,1.553,1.334,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.517,1.539,1.319,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.509,1.539,1.312,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.509,1.539,1.304,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
